,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
215,4.650418361028035,0.009829792006076898,0.02451324462890625,0.0004006267925890162,4,,,10,300,"{'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_split': 10, 'n_estimators': 300}",0.7102085618687378,0.7413380963204328,0.7249999947224918,0.7255155509705542,0.012713806864415898,169
216,0.13886157671610513,0.0027143946004832575,0.005007108052571614,5.775878369206309e-06,8,sqrt,4,2,50,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6950675540717914,0.6922044864119915,0.7128511967175372,0.7000410790671067,0.009133222314515676,343
217,0.2743860085805257,0.002093518678582199,0.008004268010457357,2.1706422621008022e-06,8,sqrt,4,2,100,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.7025602920959046,0.7057284689472951,0.7233303923594833,0.7105397178008944,0.009136387064488235,235
218,0.5423220793406168,0.003965131398418111,0.0135040283203125,0.0007132933239670022,8,sqrt,4,2,200,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.7030076134945314,0.7078822262460345,0.7198901784143301,0.710260006051632,0.007094393428181382,244
219,0.798154354095459,0.005088978376618553,0.019667307535807293,0.0004719897218976406,8,sqrt,4,2,300,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.7039658464721803,0.710418019099514,0.7208500053131,0.7117446236282646,0.006956465320027974,226
220,0.13636088371276855,0.0016501179228112048,0.004838387171427409,0.0002295598555242672,8,sqrt,4,5,50,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6950675540717914,0.6922044864119915,0.7128511967175372,0.7000410790671067,0.009133222314515676,343
221,0.2787153720855713,0.002382181095685126,0.008003155390421549,5.25723629269321e-06,8,sqrt,4,5,100,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.7025602920959046,0.7057284689472951,0.7233303923594833,0.7105397178008944,0.009136387064488235,235
222,0.5452935695648193,0.006961234769550281,0.01334055264790853,0.00047856345548479045,8,sqrt,4,5,200,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.7030076134945314,0.7078822262460345,0.7198901784143301,0.710260006051632,0.007094393428181382,244
223,0.8005127112070719,0.00402566067945898,0.019840002059936523,0.00022708740751313842,8,sqrt,4,5,300,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.7039658464721803,0.710418019099514,0.7208500053131,0.7117446236282646,0.006956465320027974,226
224,0.1370236873626709,0.002269110228597103,0.0050008296966552734,1.3626756826625066e-06,8,sqrt,4,10,50,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.6950675540717914,0.6922044864119915,0.7128511967175372,0.7000410790671067,0.009133222314515676,343
225,0.27305134137471515,0.0012295406830890746,0.00766452153523763,0.0004700786666238456,8,sqrt,4,10,100,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.7025602920959046,0.7057284689472951,0.7233303923594833,0.7105397178008944,0.009136387064488235,235
