total_number_of_words,total_number_of_stop_words,total_number_of_syllables,total_number_of_words_more_than_two_syllables,total_number_of_words_more_than_three_syllables,total_number_of_unique_words,total_number_of_sentences,total_number_of_characters,average_number_of_words_per_sentence,average_number_of_characters_per_sentence,average_number_of_characters_per_word,average_number_of_syllables_per_sentence,average_number_of_syllables_per_word,average_number_of_stop_words_per_sentence,average_number_of_stop_words_per_word,total_kuperman_age_of_acquistion_of_words,total_brysbaert_age_of_acquistion_of_words,total_subtlex_us_zipf_of_words,average_kuperman_age_of_acquistion_of_words_per_word,average_brysbaert_age_of_acquistion_of_words_per_word,average_kuperman_age_of_acquistion_of_words_per_sentence,average_brysbaert_age_of_acquistion_of_words_per_sentence,average_subtlex_us_zipf_of_words_per_word,average_subtlex_us_zipf_of_words_per_sentence,simple_adjectives_variation,simple_adpositions_variation,simple_adverbs_variation,simple_auxiliaries_variation,simple_coordinating_conjunctions_variation,simple_determiners_variation,simple_interjections_variation,simple_nouns_variation,simple_numerals_variation,simple_particles_variation,simple_pronouns_variation,simple_proper_nouns_variation,simple_punctuations_variation,simple_subordinating_conjunctions_variation,simple_symbols_variation,simple_verbs_variation,simple_spaces_variation,root_adjectives_variation,root_adpositions_variation,root_adverbs_variation,root_auxiliaries_variation,root_coordinating_conjunctions_variation,root_determiners_variation,root_interjections_variation,root_nouns_variation,root_numerals_variation,root_particles_variation,root_pronouns_variation,root_proper_nouns_variation,root_punctuations_variation,root_subordinating_conjunctions_variation,root_symbols_variation,root_verbs_variation,root_spaces_variation,corrected_adjectives_variation,corrected_adpositions_variation,corrected_adverbs_variation,corrected_auxiliaries_variation,corrected_coordinating_conjunctions_variation,corrected_determiners_variation,corrected_interjections_variation,corrected_nouns_variation,corrected_numerals_variation,corrected_particles_variation,corrected_pronouns_variation,corrected_proper_nouns_variation,corrected_punctuations_variation,corrected_subordinating_conjunctions_variation,corrected_symbols_variation,corrected_verbs_variation,corrected_spaces_variation,simple_type_token_ratio,root_type_token_ratio,corrected_type_token_ratio,bilogarithmic_type_token_ratio,uber_type_token_ratio,simple_type_token_ratio_no_lemma,root_type_token_ratio_no_lemma,corrected_type_token_ratio_no_lemma,bilogarithmic_type_token_ratio_no_lemma,uber_type_token_ratio_no_lemma,average_number_of_adjectives_per_word,average_number_of_adpositions_per_word,average_number_of_adverbs_per_word,average_number_of_auxiliaries_per_word,average_number_of_coordinating_conjunctions_per_word,average_number_of_determiners_per_word,average_number_of_interjections_per_word,average_number_of_nouns_per_word,average_number_of_numerals_per_word,average_number_of_particles_per_word,average_number_of_pronouns_per_word,average_number_of_proper_nouns_per_word,average_number_of_punctuations_per_word,average_number_of_subordinating_conjunctions_per_word,average_number_of_symbols_per_word,average_number_of_verbs_per_word,average_number_of_spaces_per_word,average_number_of_adjectives_per_sentence,average_number_of_adpositions_per_sentence,average_number_of_adverbs_per_sentence,average_number_of_auxiliaries_per_sentence,average_number_of_coordinating_conjunctions_per_sentence,average_number_of_determiners_per_sentence,average_number_of_interjections_per_sentence,average_number_of_nouns_per_sentence,average_number_of_numerals_per_sentence,average_number_of_particles_per_sentence,average_number_of_pronouns_per_sentence,average_number_of_proper_nouns_per_sentence,average_number_of_punctuations_per_sentence,average_number_of_subordinating_conjunctions_per_sentence,average_number_of_symbols_per_sentence,average_number_of_verbs_per_sentence,average_number_of_spaces_per_sentence,flesch_kincaid_reading_ease,flesch_kincaid_grade_level,gunning_fog_index,smog_index,coleman_liau_index,automated_readability_index,reading_time_for_fast_readers,reading_time_for_average_readers,reading_time_for_slow_readers
1397,766,2218,248,106,463,61,6789,22.9,111.3,4.86,36.36,1.59,12.56,0.55,7839.66,6621.63,7554.9,5.61,4.74,128.52,108.55,5.41,123.85,0.58,0.14,0.45,0.08,0.06,0.08,1.0,0.47,0.83,0.05,0.22,0.79,0.06,0.32,0.29,0.63,0.0,6.6,1.72,4.47,0.83,0.5,1.02,1.0,8.23,3.54,0.31,2.07,4.53,0.75,1.7,0.76,8.04,0.0,4.67,1.22,3.16,0.59,0.35,0.72,0.71,5.82,2.5,0.22,1.47,3.2,0.53,1.2,0.53,5.69,0.0,0.33,12.39,8.76,0.85,34.11,0.33,12.39,8.76,0.85,34.11,0.09,0.11,0.07,0.08,0.05,0.12,0.0,0.22,0.01,0.03,0.07,0.02,0.13,0.02,0.01,0.12,0.0,2.11,2.44,1.59,1.92,1.07,2.64,0.02,4.95,0.3,0.69,1.52,0.54,2.9,0.46,0.11,2.69,0.0,49.27,12.08,16.26,7.53,11.48,12.91,4.66,5.82,7.98
225,119,307,30,14,135,10,968,22.5,96.8,4.3,30.7,1.36,11.9,0.53,1007.93,914.78,1176.22,4.48,4.07,100.79,91.48,5.23,117.62,0.91,0.52,0.89,0.23,0.25,0.31,0.0,0.88,1.0,0.21,0.41,0.83,0.19,1.0,1.0,0.62,0.12,3.02,2.5,2.67,0.83,0.71,1.11,0.0,5.14,1.73,0.8,2.23,3.54,1.06,1.41,1.0,3.95,0.35,2.13,1.77,1.89,0.59,0.5,0.78,0.0,3.64,1.22,0.57,1.58,2.5,0.75,1.0,0.71,2.8,0.25,0.6,9.0,6.36,0.91,47.1,0.6,9.0,6.36,0.91,47.1,0.05,0.1,0.04,0.06,0.04,0.06,0.0,0.15,0.01,0.06,0.13,0.08,0.14,0.01,0.0,0.18,0.04,1.1,2.3,0.9,1.3,0.8,1.3,0.0,3.4,0.3,1.4,2.9,1.8,3.2,0.2,0.1,4.0,0.8,68.57,9.29,14.33,6.76,8.18,10.08,0.75,0.94,1.29
870,394,1365,159,35,363,32,4414,27.19,137.94,5.07,42.66,1.57,12.31,0.45,4457.67,3554.56,4326.35,5.12,4.09,139.3,111.08,4.97,135.2,0.68,0.16,0.78,0.17,0.1,0.11,0.0,0.57,0.6,0.23,0.41,0.49,0.08,0.44,1.0,0.65,0.15,6.04,1.78,4.42,1.0,0.63,0.98,0.0,8.38,2.68,0.83,2.12,4.15,0.83,1.75,1.0,6.43,0.55,4.27,1.26,3.12,0.71,0.45,0.69,0.0,5.92,1.9,0.59,1.5,2.94,0.59,1.24,0.71,4.55,0.39,0.42,12.31,8.7,0.87,39.75,0.42,12.31,8.7,0.87,39.75,0.09,0.14,0.04,0.04,0.05,0.1,0.0,0.25,0.02,0.01,0.03,0.08,0.13,0.02,0.0,0.11,0.01,2.5,3.94,1.0,1.12,1.25,2.62,0.0,6.84,0.62,0.41,0.84,2.22,3.66,0.5,0.03,3.09,0.41,46.51,13.53,18.19,5.97,12.94,16.06,2.9,3.62,4.97
252,109,412,54,15,137,8,1300,31.5,162.5,5.16,51.5,1.63,13.62,0.43,1086.96,947.39,1288.52,4.31,3.76,135.87,118.42,5.11,161.07,0.67,0.45,1.0,0.29,0.6,0.1,0.0,0.5,1.0,0.25,0.8,0.7,0.2,0.67,0.0,0.8,0.4,3.06,2.51,2.65,1.07,1.34,0.56,0.0,3.46,1.41,0.87,1.79,4.27,0.89,1.63,0.0,4.38,0.89,2.16,1.78,1.87,0.76,0.95,0.39,0.0,2.45,1.0,0.61,1.26,3.02,0.63,1.15,0.0,3.1,0.63,0.54,8.63,6.1,0.89,39.72,0.54,8.63,6.1,0.89,39.72,0.08,0.12,0.03,0.06,0.02,0.12,0.0,0.19,0.01,0.05,0.02,0.15,0.08,0.02,0.0,0.12,0.02,2.62,3.88,0.88,1.75,0.62,3.62,0.0,6.0,0.25,1.5,0.62,4.62,2.5,0.75,0.0,3.75,0.62,36.55,15.99,21.17,7.82,13.59,18.62,0.84,1.05,1.44
266,127,441,60,20,150,10,1388,26.6,138.8,5.22,44.1,1.66,12.7,0.48,1564.56,1309.98,1335.94,5.88,4.92,156.46,131.0,5.02,133.59,0.83,0.29,0.75,0.12,0.5,0.22,0.0,0.67,1.0,0.5,0.56,1.0,0.24,0.75,0.0,0.78,1.0,4.9,1.78,2.6,0.61,1.22,1.04,0.0,5.74,1.0,1.0,2.25,2.65,1.3,1.5,0.0,3.75,1.0,3.47,1.26,1.84,0.43,0.87,0.74,0.0,4.06,0.71,0.71,1.59,1.87,0.92,1.06,0.0,2.65,0.71,0.56,9.2,6.5,0.9,43.83,0.56,9.2,6.5,0.9,43.83,0.13,0.14,0.05,0.09,0.02,0.09,0.0,0.27,0.0,0.02,0.06,0.03,0.11,0.02,0.0,0.09,0.0,3.5,3.8,1.2,2.4,0.6,2.3,0.0,7.3,0.1,0.4,1.6,0.7,2.9,0.4,0.0,2.3,0.1,39.58,14.35,19.66,8.08,13.77,16.45,0.89,1.11,1.52
1207,612,1684,159,39,483,66,5490,18.29,83.18,4.55,25.52,1.4,9.27,0.51,5505.07,4638.25,6044.69,4.56,3.84,83.41,70.28,5.01,91.59,0.71,0.18,0.62,0.1,0.14,0.09,1.0,0.57,0.53,0.17,0.21,0.55,0.07,0.44,0.14,0.7,0.07,6.68,2.14,5.72,0.77,0.83,0.96,2.0,8.42,2.92,0.82,2.17,6.15,0.89,2.31,0.38,7.67,0.37,4.72,1.51,4.04,0.55,0.59,0.68,1.41,5.95,2.07,0.58,1.53,4.35,0.63,1.63,0.27,5.42,0.26,0.4,13.9,9.83,0.87,41.7,0.4,13.9,9.83,0.87,41.7,0.07,0.12,0.07,0.05,0.03,0.09,0.0,0.18,0.02,0.02,0.09,0.1,0.15,0.02,0.01,0.1,0.02,1.35,2.24,1.3,0.91,0.55,1.65,0.06,3.29,0.45,0.36,1.56,1.91,2.76,0.41,0.11,1.82,0.45,70.24,8.01,12.58,4.39,9.33,9.14,4.02,5.03,6.9
1046,505,1544,162,51,440,51,4903,20.51,96.14,4.69,30.27,1.48,9.9,0.48,4196.93,3824.97,4945.43,4.01,3.66,82.29,75.0,4.73,96.97,0.8,0.2,0.65,0.2,0.12,0.13,0.0,0.7,0.35,0.1,0.26,0.49,0.08,0.33,1.0,0.67,0.05,5.85,2.09,4.57,1.56,0.61,1.2,0.0,8.65,1.77,0.64,2.32,6.69,1.04,2.0,1.0,7.3,0.22,4.14,1.48,3.23,1.1,0.43,0.85,0.0,6.12,1.25,0.45,1.64,4.73,0.73,1.41,0.71,5.16,0.15,0.42,13.6,9.62,0.88,42.78,0.42,13.6,9.62,0.88,42.78,0.05,0.11,0.05,0.06,0.02,0.08,0.0,0.15,0.02,0.04,0.08,0.18,0.17,0.03,0.0,0.11,0.02,1.06,2.18,0.96,1.16,0.47,1.65,0.0,3.0,0.51,0.76,1.61,3.71,3.57,0.71,0.02,2.35,0.41,61.14,9.83,14.4,5.71,10.32,10.9,3.49,4.36,5.98
729,441,939,67,24,297,38,3032,19.18,79.79,4.16,24.71,1.29,11.61,0.6,3354.47,2931.37,4037.11,4.6,4.02,88.28,77.14,5.54,106.24,0.9,0.27,0.76,0.17,0.12,0.15,0.0,0.59,0.53,0.1,0.17,0.94,0.12,0.4,0.0,0.52,0.4,5.6,2.32,5.07,1.24,0.61,1.01,0.0,6.13,2.07,0.54,1.8,5.21,1.06,2.0,0.0,5.68,0.89,3.96,1.64,3.58,0.87,0.43,0.71,0.0,4.33,1.46,0.38,1.28,3.68,0.75,1.41,0.0,4.02,0.63,0.41,11.0,7.78,0.86,36.1,0.41,11.0,7.78,0.86,36.1,0.05,0.1,0.06,0.07,0.03,0.07,0.0,0.15,0.02,0.04,0.15,0.04,0.1,0.03,0.0,0.16,0.01,1.03,1.95,1.18,1.39,0.63,1.26,0.0,2.87,0.39,0.82,2.92,0.82,1.89,0.66,0.0,3.13,0.13,78.39,7.09,11.35,4.54,7.11,7.75,2.43,3.04,4.17
494,254,696,84,19,246,12,2270,41.17,189.17,4.6,58.0,1.41,21.17,0.51,2332.13,1900.4,2485.98,4.72,3.85,194.34,158.37,5.03,207.17,0.92,0.27,0.88,0.24,0.17,0.22,1.0,0.72,0.62,0.13,0.29,0.5,0.13,0.62,0.5,0.74,0.25,4.49,2.16,4.29,1.09,0.58,1.32,1.0,6.98,1.77,0.63,2.0,3.46,1.03,2.22,0.71,6.03,0.71,3.18,1.53,3.03,0.77,0.41,0.93,0.71,4.93,1.25,0.44,1.41,2.45,0.73,1.57,0.5,4.26,0.5,0.5,11.07,7.83,0.89,43.47,0.5,11.07,7.83,0.89,43.47,0.05,0.13,0.05,0.04,0.02,0.07,0.0,0.19,0.02,0.05,0.1,0.1,0.12,0.03,0.0,0.13,0.02,2.0,5.17,2.0,1.75,1.0,3.08,0.08,7.92,0.67,1.92,4.08,4.0,5.0,1.08,0.17,5.5,0.67,45.86,17.09,23.27,7.19,10.5,20.8,1.65,2.06,2.82
32,7,78,15,6,31,1,210,32.0,210.0,6.56,78.0,2.44,7.0,0.22,148.74,113.46,135.47,4.65,3.55,148.74,113.46,4.23,135.47,1.0,1.0,0.0,1.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.85,0.67,0.0,0.0,1.0,0.0,2.0,1.73,0.0,1.0,0.0,1.15,0.0,2.0,0.0,0.0,0.0,3.05,1.15,0.0,0.0,2.0,0.0,1.41,1.22,0.0,0.71,0.0,0.82,0.0,1.41,0.0,0.0,0.0,2.16,0.82,0.0,0.0,1.41,0.0,0.97,5.48,3.88,0.99,371.43,0.97,5.48,3.88,0.99,371.43,0.12,0.09,0.0,0.03,0.0,0.09,0.0,0.12,0.0,0.0,0.0,0.41,0.09,0.0,0.0,0.12,0.0,4.0,3.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,4.0,0.0,-31.86,25.65,31.55,13.99,21.86,25.48,0.11,0.13,0.18
18,6,28,3,0,21,1,85,18.0,85.0,4.72,28.0,1.56,6.0,0.33,57.59,47.44,76.93,3.2,2.64,57.59,47.44,4.27,76.93,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.41,0.0,1.73,0.0,0.0,1.0,2.65,1.73,0.0,0.0,1.41,0.0,0.71,0.71,0.0,0.71,0.0,1.0,0.0,1.22,0.0,0.0,0.71,1.87,1.22,0.0,0.0,1.0,0.0,1.17,4.95,3.5,1.05,-60.13,1.17,4.95,3.5,1.05,-60.13,0.06,0.06,0.0,0.06,0.0,0.11,0.0,0.17,0.0,0.0,0.06,0.39,0.17,0.0,0.0,0.11,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,2.0,0.0,56.97,9.79,13.87,0.0,10.32,9.81,0.06,0.07,0.1
476,235,661,60,18,219,21,2240,22.67,106.67,4.71,31.48,1.39,11.19,0.49,1930.6,1622.63,2275.28,4.06,3.41,91.93,77.27,4.78,108.35,0.63,0.27,0.79,0.18,0.27,0.2,1.0,0.72,0.88,0.33,0.4,0.42,0.1,0.5,1.0,0.59,0.11,3.72,1.86,4.16,0.94,0.9,1.1,1.0,5.63,2.47,1.15,2.68,3.82,0.83,2.12,1.0,4.46,0.33,2.63,1.31,2.94,0.67,0.64,0.77,0.71,3.98,1.75,0.82,1.9,2.7,0.59,1.5,0.71,3.16,0.24,0.46,10.04,7.1,0.87,37.41,0.46,10.04,7.1,0.87,37.41,0.07,0.1,0.06,0.06,0.02,0.06,0.0,0.13,0.02,0.03,0.09,0.18,0.15,0.04,0.0,0.12,0.02,1.67,2.33,1.33,1.33,0.52,1.43,0.05,2.9,0.38,0.57,2.14,4.0,3.38,0.86,0.05,2.76,0.43,66.35,9.64,14.11,5.29,10.56,12.07,1.59,1.98,2.72
580,254,887,108,40,320,29,2812,20.0,96.97,4.85,30.59,1.53,8.76,0.44,2323.54,1983.13,2912.82,4.01,3.42,80.12,68.38,5.02,100.44,0.78,0.23,0.6,0.2,0.09,0.15,0.0,0.86,0.72,0.27,0.38,0.69,0.08,0.67,0.0,0.75,0.25,4.04,1.91,2.68,1.1,0.43,1.11,0.0,9.11,3.06,0.9,2.12,7.64,0.83,2.0,0.0,5.49,0.5,2.86,1.35,1.9,0.77,0.3,0.78,0.0,6.44,2.17,0.64,1.5,5.4,0.59,1.41,0.0,3.89,0.35,0.55,13.29,9.4,0.91,55.95,0.55,13.29,9.4,0.91,55.95,0.05,0.12,0.03,0.05,0.04,0.09,0.0,0.19,0.03,0.02,0.06,0.21,0.2,0.02,0.0,0.09,0.01,0.93,2.41,0.69,1.03,0.76,1.79,0.0,3.83,0.62,0.38,1.1,4.17,4.07,0.31,0.0,1.83,0.14,57.16,10.26,15.45,6.71,11.23,11.41,1.93,2.42,3.31
411,183,605,65,33,221,31,2020,13.26,65.16,4.91,19.52,1.47,5.9,0.45,1546.95,1373.13,1774.36,3.76,3.34,49.9,44.29,4.32,57.24,1.0,0.44,0.68,0.2,0.33,0.28,0.0,0.78,0.13,0.21,0.4,0.58,0.12,0.6,0.0,0.72,0.11,4.69,2.98,3.4,0.89,0.82,1.49,0.0,6.17,0.52,0.8,2.37,4.87,1.16,1.9,0.0,4.73,0.33,3.32,2.11,2.4,0.63,0.58,1.05,0.0,4.37,0.37,0.57,1.67,3.44,0.82,1.34,0.0,3.34,0.24,0.54,10.9,7.71,0.9,46.97,0.54,10.9,7.71,0.9,46.97,0.05,0.11,0.06,0.05,0.01,0.07,0.0,0.15,0.04,0.03,0.09,0.17,0.22,0.02,0.0,0.1,0.02,0.71,1.45,0.81,0.65,0.19,0.94,0.0,2.03,0.48,0.45,1.13,2.29,2.9,0.32,0.0,1.39,0.29,68.85,6.95,11.63,5.89,10.87,8.35,1.37,1.71,2.35
148,60,218,20,8,97,4,730,37.0,182.5,4.93,54.5,1.47,15.0,0.41,787.27,623.25,701.31,5.32,4.21,196.82,155.81,4.74,175.33,0.86,0.41,0.75,0.5,0.57,0.21,0.0,0.62,1.0,1.0,0.75,0.92,0.29,1.0,1.0,0.79,0.33,2.27,1.7,2.12,1.22,1.51,0.8,0.0,4.17,2.65,1.0,1.5,3.33,1.21,1.73,1.0,2.94,0.58,1.6,1.2,1.5,0.87,1.07,0.57,0.0,2.95,1.87,0.71,1.06,2.35,0.86,1.22,0.71,2.08,0.41,0.66,7.97,5.64,0.92,49.53,0.66,7.97,5.64,0.92,49.53,0.05,0.11,0.05,0.04,0.05,0.09,0.0,0.3,0.05,0.01,0.03,0.09,0.11,0.02,0.01,0.09,0.02,1.75,4.25,2.0,1.5,1.75,3.5,0.0,11.25,1.75,0.25,1.0,3.25,4.25,0.75,0.25,3.5,0.75,44.67,16.22,20.21,8.08,12.4,20.3,0.49,0.62,0.85
72,43,86,5,2,60,5,285,14.4,57.0,3.96,17.2,1.19,8.6,0.6,265.14,253.84,384.85,3.68,3.53,53.03,50.77,5.35,76.97,1.0,0.86,1.0,0.57,0.5,0.8,0.0,1.0,1.0,0.33,0.56,0.86,0.56,1.0,0.0,1.0,1.0,1.41,2.27,2.0,1.51,0.71,1.79,0.0,2.65,2.0,0.82,1.67,2.27,1.67,1.41,0.0,3.0,1.0,1.0,1.6,1.41,1.07,0.5,1.26,0.0,1.87,1.41,0.58,1.18,1.6,1.18,1.0,0.0,2.12,0.71,0.83,7.07,5.0,0.96,91.95,0.83,7.07,5.0,0.96,91.95,0.03,0.1,0.06,0.1,0.03,0.07,0.0,0.1,0.06,0.08,0.12,0.1,0.12,0.03,0.0,0.12,0.01,0.4,1.4,0.8,1.4,0.4,1.0,0.0,1.4,0.8,1.2,1.8,1.4,1.8,0.4,0.0,1.8,0.2,91.17,4.12,8.54,3.61,5.42,4.41,0.24,0.3,0.41
521,237,778,90,30,280,18,2573,28.94,142.94,4.94,43.22,1.49,13.17,0.45,2285.44,1845.8,2450.57,4.39,3.54,126.97,102.54,4.7,136.14,0.84,0.3,0.91,0.3,0.1,0.12,1.0,0.71,1.0,0.18,0.48,0.67,0.16,0.43,0.0,0.72,0.08,4.77,2.2,4.38,1.46,0.45,0.85,1.73,7.01,2.45,0.6,2.79,6.22,1.2,1.6,0.0,5.22,0.28,3.38,1.55,3.1,1.03,0.32,0.6,1.22,4.95,1.73,0.43,1.97,4.4,0.85,1.13,0.0,3.69,0.2,0.54,12.27,8.67,0.9,51.13,0.54,12.27,8.67,0.9,51.13,0.06,0.1,0.04,0.04,0.04,0.1,0.01,0.19,0.01,0.02,0.06,0.17,0.11,0.03,0.0,0.1,0.02,1.78,2.94,1.28,1.28,1.11,2.78,0.17,5.39,0.33,0.61,1.83,4.83,3.11,0.78,0.0,2.94,0.72,51.12,13.32,18.49,7.38,12.22,16.3,1.74,2.17,2.98
306,147,425,39,7,184,16,1387,19.12,86.69,4.53,26.56,1.39,9.19,0.48,1333.54,1086.56,1466.69,4.36,3.55,83.35,67.91,4.79,91.67,0.91,0.39,0.56,0.24,0.25,0.22,0.0,0.83,0.83,0.4,0.52,0.61,0.18,0.8,1.0,0.83,0.12,3.02,2.56,2.25,0.97,0.71,1.04,0.0,5.69,2.04,1.26,2.6,4.13,1.32,1.79,1.0,5.31,0.35,2.13,1.81,1.59,0.69,0.5,0.74,0.0,4.02,1.44,0.89,1.84,2.92,0.94,1.26,0.71,3.75,0.25,0.6,10.52,7.44,0.91,53.47,0.6,10.52,7.44,0.91,53.47,0.04,0.14,0.05,0.06,0.03,0.08,0.0,0.15,0.02,0.03,0.08,0.15,0.19,0.02,0.0,0.13,0.03,0.69,2.75,1.0,1.06,0.5,1.44,0.0,2.94,0.38,0.62,1.56,2.88,3.56,0.31,0.06,2.56,0.5,69.92,8.26,12.75,3.78,9.3,9.48,1.02,1.27,1.75
333,156,513,59,15,203,14,1646,23.79,117.57,4.94,36.64,1.54,11.14,0.47,1494.21,1417.76,1717.3,4.49,4.26,106.73,101.27,5.16,122.66,0.85,0.52,0.86,0.47,0.33,0.21,0.0,0.81,1.0,0.25,0.46,0.59,0.14,0.62,1.0,0.89,0.29,3.05,2.96,3.93,1.81,1.0,1.13,0.0,6.25,1.73,0.87,2.35,3.98,0.85,1.77,1.0,6.53,0.76,2.16,2.09,2.78,1.28,0.71,0.8,0.0,4.42,1.22,0.61,1.66,2.81,0.6,1.25,0.71,4.62,0.53,0.61,11.12,7.87,0.91,57.04,0.61,11.12,7.87,0.91,57.04,0.04,0.1,0.06,0.05,0.03,0.08,0.0,0.18,0.01,0.04,0.08,0.14,0.11,0.02,0.0,0.16,0.02,0.93,2.36,1.5,1.07,0.64,2.0,0.0,4.21,0.21,0.86,1.86,3.29,2.5,0.57,0.07,3.86,0.5,52.36,11.86,16.6,5.91,12.02,13.74,1.11,1.39,1.9
1074,524,1735,217,114,501,33,5463,32.55,165.55,5.09,52.58,1.62,15.88,0.49,5611.17,4672.92,5287.73,5.22,4.35,170.04,141.6,4.92,160.23,0.77,0.13,0.69,0.19,0.06,0.08,1.0,0.75,1.0,0.11,0.38,0.51,0.09,0.55,0.0,0.86,0.08,7.55,1.59,4.32,1.51,0.33,0.87,1.73,11.22,2.0,0.74,2.94,5.43,1.06,2.56,0.0,8.78,0.28,5.34,1.12,3.06,1.07,0.24,0.62,1.22,7.94,1.41,0.52,2.08,3.84,0.75,1.81,0.0,6.21,0.2,0.47,15.29,10.81,0.89,50.68,0.47,15.29,10.81,0.89,50.68,0.09,0.13,0.04,0.06,0.03,0.1,0.0,0.21,0.0,0.04,0.06,0.11,0.12,0.02,0.0,0.1,0.01,2.91,4.33,1.18,1.91,1.09,3.21,0.09,6.79,0.12,1.39,1.85,3.45,3.88,0.67,0.0,3.18,0.39,37.13,16.17,21.1,10.62,13.2,18.8,3.58,4.47,6.14
1040,440,1658,187,62,482,54,5300,19.26,98.15,5.1,30.7,1.59,8.15,0.42,4876.12,4065.86,5094.07,4.69,3.91,90.3,75.29,4.9,94.33,0.63,0.14,0.67,0.17,0.16,0.06,0.0,0.63,0.88,0.19,0.56,0.63,0.05,1.0,0.5,0.68,0.0,6.12,1.69,3.27,1.09,0.8,0.57,0.0,9.95,3.64,0.87,2.89,8.29,0.61,2.24,0.71,6.77,0.0,4.33,1.19,2.31,0.77,0.57,0.41,0.0,7.04,2.57,0.62,2.04,5.86,0.43,1.58,0.5,4.79,0.0,0.46,14.95,10.57,0.89,49.63,0.46,14.95,10.57,0.89,49.63,0.09,0.15,0.02,0.04,0.02,0.1,0.0,0.24,0.02,0.02,0.03,0.17,0.16,0.0,0.0,0.09,0.0,1.72,2.87,0.44,0.76,0.46,2.02,0.0,4.61,0.31,0.39,0.5,3.2,3.15,0.09,0.04,1.81,0.0,52.41,10.73,14.9,6.12,12.63,12.2,3.47,4.33,5.94
402,182,561,45,19,225,15,1874,26.8,124.93,4.66,37.4,1.4,12.13,0.45,1825.42,1616.61,1988.12,4.54,4.02,121.69,107.77,4.95,132.54,0.74,0.33,0.7,0.2,0.29,0.23,0.0,0.57,0.6,0.4,0.58,0.77,0.2,0.6,0.33,0.85,0.27,4.13,2.45,3.66,0.77,0.76,1.35,0.0,5.74,2.68,0.89,2.02,4.8,1.4,1.34,0.58,5.47,0.9,2.92,1.73,2.59,0.55,0.53,0.96,0.0,4.06,1.9,0.63,1.43,3.4,0.99,0.95,0.41,3.87,0.64,0.56,11.22,7.94,0.9,50.55,0.56,11.22,7.94,0.9,50.55,0.08,0.13,0.07,0.04,0.02,0.09,0.0,0.25,0.05,0.01,0.03,0.1,0.13,0.01,0.01,0.1,0.03,2.07,3.6,1.8,1.0,0.47,2.33,0.0,6.8,1.33,0.33,0.8,2.6,3.4,0.33,0.2,2.73,0.73,61.57,11.33,15.2,6.43,10.51,13.93,1.34,1.68,2.3
1396,646,2125,255,73,666,46,6941,30.35,150.89,4.97,46.2,1.52,14.04,0.46,7116.03,5841.85,6830.66,5.1,4.18,154.7,127.0,4.89,148.49,0.77,0.17,0.71,0.17,0.06,0.09,1.0,0.76,0.93,0.08,0.27,0.62,0.04,0.36,1.0,0.74,0.08,8.64,2.06,4.38,1.43,0.42,1.05,1.41,13.43,3.61,0.57,2.71,7.74,0.59,2.09,1.0,9.28,0.28,6.11,1.46,3.1,1.01,0.29,0.74,1.0,9.49,2.56,0.4,1.92,5.47,0.41,1.48,0.71,6.56,0.2,0.48,17.83,12.6,0.9,57.11,0.48,17.83,12.6,0.9,57.11,0.09,0.11,0.03,0.05,0.04,0.09,0.0,0.22,0.01,0.04,0.07,0.11,0.13,0.02,0.0,0.11,0.01,2.74,3.2,0.83,1.52,1.13,2.83,0.04,6.72,0.33,1.07,2.15,3.41,4.04,0.72,0.02,3.46,0.28,47.25,14.21,19.45,7.2,12.46,17.16,4.65,5.82,7.98
142,67,202,15,5,107,6,703,23.67,117.17,4.95,33.67,1.42,11.17,0.47,646.25,592.35,639.78,4.55,4.17,107.71,98.73,4.51,106.63,1.0,0.7,0.86,0.6,0.33,0.5,0.0,0.82,1.0,0.27,0.69,0.86,0.26,0.67,0.0,0.96,0.33,2.83,2.21,2.27,1.9,0.58,1.41,0.0,3.84,2.0,0.9,2.5,3.21,1.15,1.63,0.0,4.59,0.58,2.0,1.57,1.6,1.34,0.41,1.0,0.0,2.71,1.41,0.64,1.77,2.27,0.81,1.15,0.0,3.24,0.41,0.75,8.98,6.35,0.94,77.16,0.75,8.98,6.35,0.94,77.16,0.06,0.07,0.05,0.07,0.02,0.06,0.0,0.15,0.03,0.08,0.09,0.1,0.13,0.04,0.0,0.16,0.02,1.33,1.67,1.17,1.67,0.5,1.33,0.0,3.67,0.67,1.83,2.17,2.33,3.17,1.0,0.0,3.83,0.5,62.47,10.43,13.69,5.21,12.06,13.72,0.47,0.59,0.81
