,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
396,1.0364311695098878,0.006609247289945522,0.07526106834411621,0.0008411742844891466,log_loss,3,850,"{'criterion': 'log_loss', 'max_depth': 3, 'n_estimators': 850}",0.7415730337078651,0.7272727272727272,0.725,0.8333333333333333,0.924731182795699,0.790382055421925,0.07814655638176253,451,0.8834325396825397,0.8546626984126984,0.908234126984127,0.9508928571428571,0.9846230158730158,0.9163690476190476,0.04649550865968455,429
397,1.0976410388946534,0.020402218601596925,0.08125019073486328,0.0018085890502082852,log_loss,3,900,"{'criterion': 'log_loss', 'max_depth': 3, 'n_estimators': 900}",0.7415730337078651,0.7272727272727272,0.7560975609756098,0.8095238095238096,0.924731182795699,0.7918396628551421,0.0720361105815838,447,0.8859126984126985,0.8526785714285715,0.9072420634920636,0.9499007936507937,0.9851190476190476,0.916170634920635,0.04672924449966201,432
398,1.1508568286895753,0.01067018562567831,0.08767142295837402,0.005078919743270999,log_loss,3,950,"{'criterion': 'log_loss', 'max_depth': 3, 'n_estimators': 950}",0.7415730337078651,0.7272727272727272,0.7407407407407406,0.8095238095238096,0.924731182795699,0.7887682988081683,0.07380032757048227,455,0.8859126984126985,0.8541666666666667,0.908234126984127,0.9503968253968254,0.9851190476190476,0.916765873015873,0.04636068840165478,423
399,0.06786141395568848,0.001417068719809959,0.009740066528320313,0.0006609870248371921,log_loss,4,50,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 50}",0.8131868131868132,0.7446808510638298,0.8045977011494253,0.8666666666666666,0.9263157894736843,0.8310895643080839,0.061355614588035366,386,0.8943452380952381,0.8387896825396826,0.9146825396825398,0.9265873015873016,0.9811507936507936,0.9111111111111111,0.04619374033903787,448
400,0.13368330001831055,0.0033036249035830073,0.014363956451416016,0.0009527803331678755,log_loss,4,100,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 100}",0.8043478260869567,0.7659574468085107,0.7906976744186046,0.8666666666666666,0.9166666666666666,0.8288672561294812,0.05505142224144679,393,0.902281746031746,0.8561507936507937,0.912202380952381,0.9320436507936508,0.986111111111111,0.9177579365079366,0.042289608253545496,403
401,0.20170326232910157,0.00506003627379668,0.018232107162475586,0.0006805322128125684,log_loss,4,150,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 150}",0.8172043010752689,0.7628865979381444,0.8045977011494253,0.8791208791208791,0.9278350515463918,0.838328906166022,0.058225286811253614,365,0.9037698412698413,0.8670634920634921,0.9141865079365079,0.9429563492063492,0.988095238095238,0.9232142857142858,0.04052600614853651,387
402,0.2682363510131836,0.010660169396551252,0.022592449188232423,0.0007256056057985307,log_loss,4,200,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 200}",0.8297872340425533,0.7755102040816326,0.7906976744186046,0.8791208791208791,0.9387755102040817,0.8427783003735503,0.05990392893336279,346,0.9092261904761905,0.8640873015873016,0.9171626984126984,0.9409722222222223,0.9895833333333334,0.9242063492063493,0.04109394751110991,382
403,0.33241586685180663,0.0011703216575623095,0.027410554885864257,0.0005757649322736937,log_loss,4,250,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 250}",0.8297872340425533,0.75,0.8045977011494253,0.8791208791208791,0.9484536082474228,0.842391884512056,0.06741164012229313,351,0.9072420634920635,0.8655753968253969,0.9156746031746031,0.9444444444444444,0.9900793650793651,0.9246031746031746,0.04134298882359287,374
404,0.40734663009643557,0.01639897254820707,0.03347616195678711,0.0037004643632485203,log_loss,4,300,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 300}",0.8297872340425533,0.7628865979381444,0.8045977011494253,0.888888888888889,0.9375,0.8447320844038024,0.06178755614640696,339,0.9077380952380952,0.8616071428571428,0.9176587301587302,0.9384920634920635,0.9890873015873016,0.9229166666666666,0.04156450059546691,390
405,0.4568827152252197,0.006269936625407494,0.03576211929321289,0.0016150051091118973,log_loss,4,350,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 350}",0.8172043010752689,0.7628865979381444,0.8045977011494253,0.8666666666666666,0.9375,0.8377710533659011,0.05985309269628193,369,0.9052579365079365,0.8635912698412699,0.9171626984126984,0.9370039682539681,0.9900793650793651,0.9226190476190478,0.04140840216327228,392
406,0.544231653213501,0.01114453717181514,0.04055013656616211,0.0012334039810528064,log_loss,4,400,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 400}",0.8260869565217391,0.7628865979381444,0.8045977011494253,0.8764044943820225,0.9375,0.8414951499982664,0.060355169064316115,353,0.9067460317460317,0.8665674603174603,0.9171626984126984,0.9404761904761905,0.9880952380952381,0.9238095238095239,0.04005603006062492,385
407,0.5948569297790527,0.005453271272617865,0.04476995468139648,0.0011373585569335095,log_loss,4,450,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 450}",0.8260869565217391,0.7628865979381444,0.8045977011494253,0.8764044943820225,0.9375,0.8414951499982664,0.060355169064316115,353,0.9097222222222221,0.8660714285714285,0.9171626984126984,0.9399801587301587,0.9885912698412698,0.9243055555555554,0.04008304831417784,380
408,0.650734281539917,0.009991594282856463,0.04637818336486817,0.0003097016192567365,log_loss,4,500,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 500}",0.8172043010752689,0.7628865979381444,0.7906976744186046,0.8791208791208791,0.9375,0.8374818905105794,0.06309013992842492,374,0.9077380952380952,0.8670634920634921,0.9206349206349207,0.9419642857142857,0.9875992063492064,0.925,0.03969915326829024,372
409,0.7273595333099365,0.011291612867444996,0.05113363265991211,0.0008854238568015598,log_loss,4,550,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 550}",0.8172043010752689,0.7628865979381444,0.8045977011494253,0.8666666666666666,0.9375,0.8377710533659011,0.05985309269628193,369,0.9067460317460317,0.8675595238095238,0.9181547619047619,0.9404761904761905,0.9885912698412699,0.9243055555555555,0.039900936712900535,378
410,0.7948707103729248,0.032679272374637656,0.05600295066833496,0.002159847615197772,log_loss,4,600,"{'criterion': 'log_loss', 'max_depth': 4, 'n_estimators': 600}",0.8172043010752689,0.7628865979381444,0.8045977011494253,0.8791208791208791,0.9375,0.8402618958567436,0.061246703857297205,360,0.9072420634920635,0.871031746031746,0.9196428571428571,0.9409722222222223,0.9880952380952381,0.9253968253968253,0.038709041130016934,368
